Track,Version,Artist,Release,Digital UPC,Label Imprint,Project Code,Product Code,Revenue,Ringtones,Cloud,Publishing,Total,Preferred Currency
Sabores,,Rey Effective,Sabores,6.92532E+11,NUESTRO TIEMPO ENT.,6.92532E+11,QZHN82157960,0.765114,0,0,0,0.765114,USD
Too Turnt,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,0.558776,0,0,0,0.558776,USD
Pompeya,,Rey Effective,Ahora Te Perdono,1.97188E+11,GAME7,1.97188E+11,1.97188E+11,0.491573,0,0,0,0.491573,USD
Telly,,Youwin,Telly,1.97188E+11,MARSTEN HOUSE,1.96925E+11,QM6N22248406LV,0.476252,0,0,0,0.476252,USD
Prendele,,Rey Effective,Ahora Te Perdono,1.97188E+11,GAME7,1.97188E+11,1.97188E+11,0.430431,0,0,0,0.430431,USD
Hedonist Overture,,Youwin,Hedonist Overture,1.97188E+11,ENGLISH LIT,1.97188E+11,360-0006-1LV,0.368826,0,0,0,0.368826,USD
Bailamos,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,0.356221,0,0,0,0.356221,USD
Rip Nancy,,Youwin,Rip Nancy,1.97188E+11,MARSTEN HOUSE,1.96925E+11,QM6N22248405LV,0.352638,0,0,0,0.352638,USD
Ode To A Boy,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.345878,0,0,0,0.345878,USD
Que Casualidad,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,0.323946,0,0,0,0.323946,USD
Too Turnt,,Youwin,Too Turnt,1.97188E+11,MARSTEN HOUSE,1.96925E+11,QM6N22248403LV,0.309139,0,0,0,0.309139,USD
El Lobo,,Rey Effective,Ahora Te Perdono,1.97188E+11,GAME7,1.97188E+11,1.97188E+11,0.284037,0,0,0,0.284037,USD
Mi Diablona,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,0.274537,0,0,0,0.274537,USD
To B. Or Not To B.,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.268085,0,0,0,0.268085,USD
Mhmmniverse,,Nazzy the Mic,Mhmmniverse,1.97189E+11,FIREBRAND ENT.,1.97188E+11,QM4TW2349094LV,0.251118,0,0,0,0.251118,USD
Quiero Olvidarte,,Rey Effective,Quiero Olvidarte,6.92532E+11,NUESTRO TIEMPO ENT.,360-0009,QZHN82157962,0.233738,0,0,0,0.233738,USD
Innerview,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.231742,0,0,0,0.231742,USD
Old Soul,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.215911,0,0,0,0.215911,USD
Lou Reed,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.201432,0,0,0,0.201432,USD
Homecoming,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.193796,0,0,0,0.193796,USD
In the Dark,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.183123,0,0,0,0.183123,USD
Everything's Perfect,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.180544,0,0,0,0.180544,USD
Baskerville,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.165554,0,0,0,0.165554,USD
Jack London,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.153522,0,0,0,0.153522,USD
Que Casualidad,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,0.147955,0,0,0,0.147955,USD
Meals And Nails,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.12626,0,0,0,0.12626,USD
La Mano Que Te Alimenta,,Rey Effective,Ahora Te Perdono,1.97188E+11,VILLA VERDE,1.97188E+11,1.97188E+11,0.114937,0,0,0,0.114937,USD
Gone,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.114722,0,0,0,0.114722,USD
Bedroom Eyes,,Youwin,No Songs Just Thoughts,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,0.111674,0,0,0,0.111674,USD
Empty,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.097242,0,0,0,0.097242,USD
Trippin,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.094339,0,0,0,0.094339,USD
Deep the Intro,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,0.0934,0,0,0,0.0934,USD
La Inocente,,Rey Effective,La Inocente,1.97188E+11,VILLA VERDE,1.97188E+11,QM6MZ2266719MV,0.090772,0,0,0,0.090772,USD
Veneno,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,0.07445,0,0,0,0.07445,USD
Get This Money,,Nazzy the Mic,Get This Money,1.96925E+11,360,1.96627E+11,360-0008-01,0.072927,0,0,0,0.072927,USD
Malkovich Theme,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.062177,0,0,0,0.062177,USD
Get This Money,,Nazzy the Mic,Get This Money,1.96627E+11,360,196626717221-01,360-0001-02,0.047103,0,0,0,0.047103,USD
How You Feel,,Nazzy the Mic,How You Feel,1.97189E+11,FIREBRAND ENT.,1.97188E+11,QM4TW2349097LV,0.040895,0,0,0,0.040895,USD
Bulletproof Tux,,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.031962,0,0,0,0.031962,USD
Train,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.029662,0,0,0,0.029662,USD
Already Know,,Rey Effective,Already Know,1.96627E+11,NUESTRO TIEMPO ENT.,1.96627E+11,FM-0001-01,0.028178,0,0,0,0.028178,USD
WTF,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.026472,0,0,0,0.026472,USD
Sunset Dropouts,,"Malkovich, ""P.U.D.G.E.""",Lethal Vice,84854270550,GENOA IMPORTS,84854270550,,0.024754,0,0,0,0.024754,USD
The Next Edition,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.024421,0,0,0,0.024421,USD
Lies,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.020722,0,0,0,0.020722,USD
Waiting for You,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.020206,0,0,0,0.020206,USD
Cali,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.017059,0,0,0,0.017059,USD
Burnt Bridges,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.016691,0,0,0,0.016691,USD
Dope,,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.014205,0,0,0,0.014205,USD
Possibility,,Jes Hudak,Possibility,1.96627E+11,A SILENT SKY,1.96627E+11,SS-0001-01,0.013488,0,0,0,0.013488,USD
Bullet,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.013203,0,0,0,0.013203,USD
Sinkorswim,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.013131,0,0,0,0.013131,USD
Through the Trees,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.011297,0,0,0,0.011297,USD
Flossy,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.01053,0,0,0,0.01053,USD
The Meaning of Eyes,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.01028,0,0,0,0.01028,USD
NOLA Darling,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.010194,0,0,0,0.010194,USD
Great Expectations,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.006978,0,0,0,0.006978,USD
Innerview,Grazzhoppa Remix,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.00629,0,0,0,0.00629,USD
Mi Obsesìon,,2livemafia,Mi Obsesìon,1.97188E+11,VILLA VERDE,1.97188E+11,197188012359MV,0.006235,0,0,0,0.006235,USD
Chuck Davis,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.005865,0,0,0,0.005865,USD
Sundays,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.00523,0,0,0,0.00523,USD
Get Away,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.005097,0,0,0,0.005097,USD
What I Know,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.004618,0,0,0,0.004618,USD
Palms,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.004618,0,0,0,0.004618,USD
Welcome Back,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.004525,0,0,0,0.004525,USD
The Gift,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.004401,0,0,0,0.004401,USD
Cry America,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.003581,0,0,0,0.003581,USD
Henchmen,,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.003551,0,0,0,0.003551,USD
Bedbugs,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.003427,0,0,0,0.003427,USD
Lions in Winter,,Malkovich Music,Great Expectations,84854284304,GENOA IMPORTS,84854284304,,0.003427,0,0,0,0.003427,USD
Prohibition,,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.00321,0,0,0,0.00321,USD
Quartertothree,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.000974,0,0,0,0.000974,USD
Searching,,Malkovich Music,Skeletons,8.09546E+11,GENOA IMPORTS,8.09546E+11,,0.000974,0,0,0,0.000974,USD
Slumdogs,,Malkovich Music,Ayatollah Presley,84854212390,GENOA IMPORTS,84854212390,,0.000974,0,0,0,0.000974,USD
Bankruptcy,,Malkovich Music,Bankruptcy,8.47108E+11,GENOA IMPORTS,8.47108E+11,,0.000377,0,0,0,0.000377,USD
